constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness,cluster
87,Khulna,Jessore-3,20.0,52.9,Anindya Islam Amit,BNP,201339.0,Md. Abdul Quader,Jamaat,187463.0,13876.0,613460,307549,305901,10,Normal,388802.0,51.78445584127653,3.5689116825530736,50.133505037003225,49.86486486486486,0.0016300981319075,0.2686401721383618,Very Close,0.0
88,Khulna,Jessore-4,20.0,52.9,Ghulam Rasul,Jamaat,176912.0,Mujibur Rahman Khokon,BNP,131917.0,44995.0,458531,228433,230094,4,Normal,308829.0,57.284775717306346,14.569551434612682,49.81844193740445,50.18068571154404,0.0008723510515101,-0.3622437741395856,Close,0.0
89,Khulna,Jessore-5,20.0,52.9,Gazi Enamul Haque,Jamaat,132876.0,Shahid Md. Iqbal Hossain,IND,85045.0,47831.0,374252,188480,185768,4,Normal,217921.0,60.97438980180891,21.948779603617822,50.361788313756506,49.63714288767996,0.0010687985635347,0.7246454260765489,Moderate,0.0
90,Khulna,Jessore-6,20.0,52.9,Md. Mokhtar Ali,Jamaat,92234.0,Md. Abul Hossain Azad,BNP,80141.0,12093.0,229163,115244,113917,2,Normal,172375.0,53.50775924583032,7.015518491660624,50.28909553461946,49.71003172414395,0.000872741236587,0.5790638104755104,Close,0.0
91,Khulna,Magura-1,22.8,52.9,Md. Monowar Hossain,BNP,185338.0,Abdul Mateen,Jamaat,89691.0,95647.0,430775,215268,215504,3,Normal,275029.0,67.38852993684303,34.77705987368605,49.972259300098656,50.02704428065695,0.0006964192443851,-0.0547849805582956,Large,2.0
92,Khulna,Magura-2,22.8,52.9,Nitai Roy Chowdhury,BNP,147896.0,Md. Musharhsed Billah,Jamaat,117018.0,30878.0,416634,211546,205085,3,Normal,264914.0,55.82792906377164,11.655858127543278,50.77502076162771,49.22425918191986,0.0007200564524258,1.5507615797078458,Close,0.0
93,Khulna,Narail-1,14.9,52.9,Biswas Jahangir Alam,BNP,99975.0,Md. Obaidullah,Jamaat,75225.0,24750.0,294155,148505,145648,2,Normal,175200.0,57.06335616438356,14.126712328767123,50.48528836837721,49.51403171797182,0.0006799136509663,0.971256650405394,Close,0.0
94,Khulna,Narail-2,14.9,52.9,Md. Ataur Rahman,Jamaat,118142.0,Md. Monirul Islam,IND,78457.0,39685.0,390988,194245,196739,4,Normal,196599.0,60.0928794144426,20.18575882888519,49.68055285584212,50.31842409485713,0.0010230493007458,-0.6378712390150056,Moderate,0.0
95,Khulna,Bagerhat-1,13.7,52.9,Md. Moshiur Rahman Khan,Jamaat,117527.0,Kapil Krishna Mandal,BNP,114323.0,3204.0,375560,190838,184720,2,Normal,231850.0,50.690963985335344,1.3819279706706922,50.8142507189264,49.18521674299712,0.0005325380764724,1.629033975929282,Very Close,0.0
96,Khulna,Bagerhat-2,13.7,52.9,Sheikh Manjurul Haque Rahad,Jamaat,117709.0,Sheikh Mohammad Zakir Hossain,BNP,66409.0,51300.0,338009,167739,170265,5,Normal,184118.0,63.93128319881814,27.862566397636297,49.62560168516223,50.37291906428527,0.0014792505525,-0.7473173791230394,Moderate,0.0
97,Khulna,Bagerhat-3,13.7,52.9,Sheikh Faridul Islam,BNP,102661.0,Mohammad Abdul Wadud Sheikh,Jamaat,83550.0,19111.0,266864,132350,134510,4,Normal,186211.0,55.131544323375095,10.263088646750193,49.5945500329756,50.40395107620361,0.0014988908207926,-0.8094010432280143,Close,0.0
98,Khulna,Bagerhat-4,13.7,52.9,Md. Abdul Alim,Jamaat,116067.0,Somnath Dey,BNP,98326.0,17741.0,380679,191812,188864,3,Normal,214393.0,54.137495160756174,8.274990321512362,50.38680883368928,49.6124031007752,0.0007880655355299,0.774405732914083,Close,0.0
99,Khulna,Khulna-1,10.2,52.9,Amir Ejaz Khan,BNP,121352.0,Krishna Nandi,Jamaat,70346.0,51006.0,307103,152285,154814,4,Normal,191698.0,63.30373817149892,26.60747634299784,49.587597646392254,50.41109985900496,0.0013024946027879,-0.8235022126127092,Moderate,0.0
100,Khulna,Khulna-2,10.2,52.9,Sheikh Jahangir Hussain Helal,Jamaat,93789.0,Nazrul Islam Manju,BNP,88197.0,5592.0,335241,165762,169469,10,Normal,181986.0,51.53638191948831,3.0727638389766243,49.44562270128057,50.551394370020375,0.0029829286990553,-1.1057716687398056,Very Close,0.0
101,Khulna,Khulna-3,10.2,52.9,Rakibul Islam,BNP,74845.0,Mohammad Mahfuzur Rahman,Jamaat,66010.0,8835.0,254409,127636,126765,8,Normal,140855.0,53.13620389762522,6.272407795250434,50.16960877956361,49.82724667759395,0.0031445428424308,0.3423621019696625,Close,0.0
102,Khulna,Khulna-4,10.2,52.9,SK Azizul Bari Helal,BNP,123162.0,SM Sakhawat Hossain,KM,109530.0,13632.0,378453,188526,189922,5,Normal,232692.0,52.92919395595895,5.8583879119179,49.81490436064716,50.183774471334615,0.0013211680182215,-0.3688701106874532,Close,0.0
103,Khulna,Khulna-5,10.2,52.9,Mohammad Ali Asghar Lobby,BNP,148854.0,Mia Golam Parwar,Jamaat,146246.0,2608.0,402798,199354,203443,1,Normal,295100.0,50.441884107082345,0.8837682141646899,49.49230135204246,50.50745038456,0.0002482633975342,-1.0151490325175416,Very Close,0.0
104,Khulna,Khulna-6,10.2,52.9,Abul Kalam Azad,Jamaat,150724.0,SM Monirul Hasan,BNP,124710.0,26014.0,423331,212869,210461,1,Normal,275434.0,54.72236543055686,9.444730861113731,50.28429290555145,49.7154708726741,0.0002362217744507,0.5688220328773497,Close,0.0
105,Khulna,Satkhira-1,17.3,52.9,Md. Izzatullah,Jamaat,193772.0,Md. Habibul Islam Habib,BNP,169995.0,23777.0,496848,247873,248973,2,Normal,363767.0,53.268163412294136,6.536326824588266,49.88910089202332,50.11049657037967,0.0004025375970115,-0.2213956783563517,Close,0.0
106,Khulna,Satkhira-2,17.3,52.9,Muhammad Abdul Khaliq,Jamaat,266959.0,Md. Abdur Rauf,BNP,116293.0,150666.0,535654,265965,269685,4,Normal,383252.0,69.65625750159164,39.312515003183286,49.65238754867881,50.34686570062018,0.0007467507010122,-0.6944781519413681,Large,2.0
107,Khulna,Satkhira-3,17.3,52.9,Hafez Rabiul Bashar,Jamaat,184233.0,Md. Shahidul Alam,IND,105379.0,78854.0,502222,253984,248235,3,Normal,289612.0,63.61373147521512,27.22746295043023,50.572057775246805,49.42734487935614,0.0005973453970554,1.1447128958906632,Moderate,0.0
108,Khulna,Satkhira-4,17.3,52.9,Gazi Nazrul Islam,Jamaat,106913.0,Md. Moniruzzaman,BNP,85426.0,21487.0,298052,150027,148021,4,Normal,192339.0,55.58571064630679,11.171421292613562,50.33584743601788,49.66281051628575,0.0013420476963751,0.6730369197321266,Close,0.0
109,Barishal,Barguna-1,19.8,60.9,Md. Ali Ullah,IAB,140291.0,Md. Nazrul Islam Mollah,BNP,136145.0,4146.0,519460,259098,260351,11,Normal,276436.0,50.74990232820616,1.4998046564123342,49.87833519424017,50.11954722211527,0.0021175836445539,-0.2412120278750933,Very Close,0.0
110,Barishal,Barguna-2,19.8,60.9,Md. Nurul Islam,BNP,90643.0,Dr. Sultan Ahmad,Jamaat,85247.0,5396.0,337744,167965,169775,4,Normal,175890.0,51.53391324123031,3.067826482460629,49.73145340849874,50.26736226254205,0.0011843289592117,-0.5359088540433063,Very Close,0.0
111,Barishal,Patuakhali-1,20.8,60.9,Altaf Hossain Chowdhury,BNP,152087.0,Md Feroze Alam,IAB,58161.0,93926.0,505840,254339,251493,8,Normal,210248.0,72.33695445378791,44.67390890757581,50.280523485687176,49.71789498655701,0.0015815277558121,0.5626284991301631,Large,2.0
112,Barishal,Patuakhali-2,20.8,60.9,Shafiqul Islam Masud,Jamaat,100750.0,Md. Shahidul Alam Talukder,BNP,72676.0,28074.0,315282,160501,154779,2,Normal,173426.0,58.0939420848085,16.18788416961701,50.90712441560255,49.09224123165928,0.0006343527381835,1.814883183943266,Moderate,0.0
113,Barishal,Patuakhali-3,20.8,60.9,Nurul Haque Nur,GOP,97323.0,Md Hasan Mamun,IND,81361.0,15962.0,375871,189020,186848,3,Normal,178684.0,54.46654429047928,8.933088580958563,50.28852984135514,49.710672012472365,0.00079814617249,0.5778578288827774,Close,0.0
114,Barishal,Patuakhali-4,20.8,60.9,ABM Mosharraf Hossain,BNP,124013.0,Mostafizur Rahman,IAB,70127.0,53886.0,312603,158123,154475,5,Normal,194140.0,63.87812918512413,27.756258370248275,50.582687946052985,49.415712581133256,0.0015994728137605,1.166975364919729,Moderate,0.0
115,Barishal,Bhola-1,27.0,60.9,Andaleeve Rahman,BJP,105543.0,Md. Nazrul Islam,Jamaat,75337.0,30206.0,406567,210087,196475,5,Normal,180880.0,58.34973463069439,16.699469261388767,51.67340192391414,48.32536826648498,0.0012298096008775,3.3480336574291627,Moderate,0.0
116,Barishal,Bhola-2,27.0,60.9,Hafiz Ibrahim,BNP,119085.0,Mohammad Fazlul Karim,Jamaat,93703.0,25382.0,395546,206433,189112,1,Normal,212788.0,55.964152113841,11.928304227682013,52.18937873218286,47.81036845272105,0.000252815096095,4.379010279461809,Close,0.0
117,Barishal,Bhola-3,27.0,60.9,Hafizuddin Ahmed,BNP,145990.0,Muhammad Nizamul Haque,BDP,57351.0,88639.0,388550,200497,188050,3,Normal,203341.0,71.79565360650336,43.59130721300672,51.60133830909793,48.39788958949942,0.0007721014026508,3.203448719598512,Large,2.0
118,Barishal,Bhola-4,27.0,60.9,Mohammad Nurul Islam,BNP,189351.0,Mohammad Mustafa Kamal,Jamaat,81437.0,107914.0,502026,262843,239176,7,Normal,270788.0,69.92591990782458,39.85183981564914,52.35645165788226,47.64215399202432,0.0013943500934214,4.714297665857941,Large,2.0
119,Barishal,Barisal-1,25.7,60.9,Zahir Uddin Swapan,BNP,100552.0,Md. Kamrul Islam Khan,Jamaat,46263.0,54289.0,328198,165364,162834,0,Normal,146815.0,68.48891462044068,36.97782924088138,50.38543805873283,49.61456194126716,0.0,0.7708761174656686,Large,2.0
120,Barishal,Barisal-2,25.7,60.9,Sardar Sarfuddin Ahmed,BNP,141622.0,Abdul Mannan,Jamaat,74082.0,67540.0,385807,196262,189544,1,Normal,215704.0,65.65571338500908,31.311426770018176,50.8705129766956,49.12922782634841,0.0002591969559909,1.7412851503471884,Large,0.0
121,Barishal,Barisal-3,25.7,60.9,Zainul Abedin,BNP,80930.0,Asaduzzaman Fuaad,ABP,61192.0,19738.0,332097,167921,164173,3,Normal,142122.0,56.944033998958645,13.888067997917284,50.56384128733472,49.43525536213817,0.000903350527105,1.1285859251965462,Close,0.0
122,Barishal,Barisal-4,25.7,60.9,Md. Rajib Ahsan,BNP,128322.0,Mohammad Abdul Jabbar,Jamaat,74684.0,53638.0,421975,217942,204030,3,Normal,203006.0,63.21093957814055,26.421879156281097,51.64808341726405,48.35120564014456,0.0007109425913857,3.296877777119498,Moderate,0.0
123,Barishal,Barisal-5,25.7,60.9,Majibur Rahman Sarwar,BNP,135146.0,Syed Faizul Karim,IAB,95044.0,40102.0,501304,250680,250615,9,Normal,230190.0,58.710630348842265,17.42126069768452,50.00558543319024,49.99261924899861,0.0017953178111485,0.0129661841916259,Moderate,0.0
124,Barishal,Barisal-6,25.7,60.9,Abul Hossain Khan,BNP,82217.0,Md. Mahmudunnabi,Jamaat,55988.0,26229.0,315597,160055,155538,4,Normal,138205.0,59.48916464672045,18.978329293440904,50.71499412225084,49.28373843857831,0.0012674391708412,1.431255683672532,Moderate,0.0
125,Barishal,Jhalokati-1,33.5,60.9,Rafiqul Islam Jamal,BNP,62010.0,Faizul Haque,Jamaat,55120.0,6890.0,228431,116427,112002,2,Normal,117130.0,52.94117647058824,5.88235294117647,50.96812604243732,49.03099841965408,0.0008755379086025,1.937127622783244,Close,0.0
126,Barishal,Jhalokati-2,33.5,60.9,Israt Sultana Ilein Bhutto,BNP,113419.0,SM Nayeamul Karim,Jamaat,70556.0,42863.0,365397,185451,179944,2,Normal,183975.0,61.64913711102052,23.29827422204104,50.753290256898666,49.24616239323257,0.0005473498687728,1.5071278636660992,Moderate,0.0
127,Barishal,Pirojpur-1,37.9,60.9,Masood Sayeedi,Jamaat,132659.0,Alamgir Hossain,BNP,107105.0,25554.0,392178,198709,193469,0,Normal,239764.0,55.328990173670775,10.657980347341551,50.66806399135086,49.33193600864914,0.0,1.3361279827017256,Close,0.0
128,Barishal,Pirojpur-2,37.9,60.9,Ahmad Sohail Manzoor,BNP,105185.0,Shameem Sayeedi,Jamaat,96897.0,8288.0,409288,204312,204972,4,Normal,202082.0,52.05065270533744,4.1013054106748745,49.91888352455972,50.08013916850727,0.0009773069330153,-0.1612556439475483,Very Close,0.0
129,Barishal,Pirojpur-3,37.9,60.9,Md. Ruhul Amin Dulal,BNP,63791.0,Md. Shamim Hamidi,NCP,36616.0,27175.0,241361,122045,119315,1,Normal,100407.0,63.532423038234384,27.064846076468772,50.56533574189699,49.43424994095981,0.0004143171432004,1.1310858009371785,Moderate,0.0
138,Mymensingh,Jamalpur-1,18.8,38.95,M Rashiduzzaman Millat,BNP,172011.0,Muhammad Nazmul Haque Sayeedi,Jamaat,93661.0,78350.0,431707,216207,215498,2,Normal,265672.0,64.74562618567255,29.49125237134512,50.08188424093193,49.91765248189166,0.0004632771764182,0.1642317590402697,Moderate,1.0
139,Mymensingh,Jamalpur-2,18.8,38.95,A. E. Sultan Mahmud Babu,BNP,95860.0,Md. Shamiul Haque,Jamaat,62434.0,33426.0,282103,144469,137633,1,Normal,158294.0,60.558201826980174,21.116403653960354,51.21143695742335,48.78820856212093,0.00035448045572,2.423228395302424,Moderate,1.0
140,Mymensingh,Jamalpur-3,18.8,38.95,Md. Mostafizur Rahman Babul,BNP,207412.0,Md. Mujibur Rahman Azadi,Jamaat,81430.0,125982.0,539504,274257,265241,6,Normal,288842.0,71.80811654814742,43.61623309629486,50.83502624632996,49.16386162104451,0.0011121326255227,1.6711646252854493,Large,2.0
141,Mymensingh,Jamalpur-4,18.8,38.95,Md. Faridul Kabir Talukder,BNP,147406.0,Mohammad Abdul Awal,Jamaat,44947.0,102459.0,304992,151527,153464,1,Normal,192353.0,76.63306524982714,53.26613049965429,49.68228674850488,50.3173853740426,0.0003278774525233,-0.6350986255377222,Very Large,2.0
142,Mymensingh,Jamalpur-5,18.8,38.95,Shah Md Waresh Ali Mamun,BNP,199344.0,Muhammad Abdus Sattar,Jamaat,113201.0,86143.0,576810,281747,295053,10,Normal,312545.0,63.78089555104065,27.5617911020813,48.84572042787053,51.1525458989962,0.0017336731332674,-2.30682547112567,Moderate,1.0
143,Mymensingh,Sherpur-1,19.9,38.95,Md. Rashedul Islam Rashed,Jamaat,127811.0,Sansila Zebrin,BNP,78342.0,49469.0,450489,224472,226009,8,Normal,206153.0,61.998127604255096,23.996255208510185,49.82851967528619,50.16970447669088,0.0017758480229261,-0.3411848014046938,Moderate,1.0
144,Mymensingh,Sherpur-2,19.9,38.95,Mohammad Fahim Chowdhury,BNP,118472.0,Md. Golam Kibria,Jamaat,108335.0,10137.0,440035,215786,224249,0,Normal,226807.0,52.234719386967775,4.469438773935549,49.03837194768597,50.961628052314026,0.0,-1.9232561046280523,Very Close,1.0
146,Mymensingh,Mymensingh-1,20.4,38.95,Mohammed Salman Omar,IND,108265.0,Syed Imran Saleh,BNP,101926.0,6339.0,483712,241604,242104,4,Normal,210191.0,51.50791423039045,3.015828460780909,49.94790288436094,50.05127017729558,0.0008269383434771,-0.1033672929346352,Very Close,1.0
147,Mymensingh,Mymensingh-2,20.4,38.95,Muhammadullah,BKM,144565.0,Motahar Hossain Talukder,BNP,117344.0,27221.0,576167,294451,281713,3,Normal,261909.0,55.19665227235414,10.393304544708275,51.10514833372963,48.89433098389876,0.000520682371604,2.2108173498308687,Close,1.0
148,Mymensingh,Mymensingh-3,20.4,38.95,M Iqbal Hossain,BNP,75320.0,Ahmad Taibur Rahman,IND,65995.0,9325.0,298268,150780,147487,1,Normal,141315.0,53.29936666312847,6.598733326256943,50.55185269623291,49.447812034814326,0.0003352689527538,1.104040661418587,Close,1.0
149,Mymensingh,Mymensingh-4,20.4,38.95,Md. Abu Wahab Akand Wahid,BNP,177891.0,Mohammad Kamrul Ahsan,Jamaat,169580.0,8311.0,695306,345005,350291,10,Normal,347471.0,51.195927142121214,2.391854284242426,49.61916048473622,50.3794012995717,0.0014382156920837,-0.760240814835484,Very Close,1.0
150,Mymensingh,Mymensingh-5,20.4,38.95,Mohammad Zakir Hossain,BNP,128896.0,Md. Matiur Rahman Akand,Jamaat,102228.0,26668.0,387927,194275,193650,2,Normal,231124.0,55.76919748706322,11.538394974126442,50.08029861288336,49.91918582619926,0.000515560917389,0.1611127866840931,Close,1.0
151,Mymensingh,Mymensingh-6,20.4,38.95,Md. Kamrul Hasan,Jamaat,75946.0,Akhtar Sultana,IND,52669.0,23277.0,417927,210330,207595,2,Normal,128615.0,59.049100027213,18.098200054426,50.32697097818518,49.67255046934034,0.0004785524744752,0.6544205088448436,Moderate,1.0
152,Mymensingh,Mymensingh-7,20.4,38.95,Md. Mahabubur Rahman,BNP,99049.0,Md. Achaduzzaman,Jamaat,84851.0,14198.0,403249,205179,198070,0,Normal,183900.0,53.860250135943446,7.720500271886895,50.881465298116055,49.118534701883945,0.0,1.7629305962321098,Close,1.0
153,Mymensingh,Mymensingh-8,20.4,38.95,Lutfulahel Majed,BNP,107577.0,Md. Aurangzeb Belal,LDP,45791.0,61786.0,348879,179437,169436,6,Normal,153368.0,70.1430546137395,40.286109227479,51.43244505974851,48.56583514628281,0.0017197939686825,2.8666099134657017,Large,2.0
154,Mymensingh,Mymensingh-9,20.4,38.95,Yasser Khan Chowdhury,BNP,85761.0,AKM Anwarul Islam,BDP,71168.0,14593.0,384641,198692,185942,7,Normal,156929.0,54.64955489425154,9.29910978850308,51.656479678453415,48.34170044275052,0.0018198787960721,3.3147792357029005,Close,1.0
155,Mymensingh,Mymensingh-10,20.4,38.95,Mohammad Aktaruzzaman,BNP,75585.0,Abu Bakr Siddiqur Rahman,IND,67013.0,8572.0,409364,209120,200241,3,Normal,142598.0,53.005652253187286,6.011304506374564,51.08412073362582,48.91514642225501,0.0007328441191702,2.1689743113708038,Close,1.0
156,Mymensingh,Mymensingh-11,20.4,38.95,Fakhruddin Ahmed,BNP,111230.0,Muhammad Morshed Alam,IND,66016.0,45214.0,358659,178020,180636,3,Normal,177246.0,62.75458966633944,25.50917933267888,49.63488996512008,50.36427358577368,0.0008364491062541,-0.7293836206536071,Moderate,1.0
157,Mymensingh,Netrokona-1,33.9,38.95,Kaiser Kamal,BNP,158343.0,Golam Rabbani,BKM,87488.0,70855.0,456182,231751,224427,4,Normal,245831.0,64.41132322611875,28.82264645223751,50.80231135818599,49.1968117987996,0.0008768430144109,1.605499559386388,Moderate,1.0
158,Mymensingh,Netrokona-2,33.9,38.95,Md. Anwarul Haque,BNP,171399.0,Md. Fahim Rahman Khan Pathan,NCP,67367.0,104032.0,502438,252379,250047,12,Normal,238766.0,71.7853463223407,43.5706926446814,50.230874257122274,49.7667373884937,0.0023883543840235,0.4641368686285716,Large,2.0
159,Mymensingh,Netrokona-3,33.9,38.95,Rafiqul Islam Hilali,BNP,118469.0,Md Delwar Hossain Bhuiyan,IND,68961.0,49508.0,420686,214883,205794,9,Normal,187430.0,63.207063970549,26.41412794109801,51.07918970443514,48.91867093271466,0.0021393628502018,2.160518771720476,Moderate,1.0
160,Mymensingh,Netrokona-4,33.9,38.95,Lutfozzaman Babar,BNP,160801.0,Md. Al Helal,Jamaat,39840.0,120961.0,375308,190313,184982,13,Normal,200641.0,80.14363963496992,60.287279269939845,50.708484764513415,49.28805141377215,0.0034638217144318,1.4204333507412628,Very Large,2.0
161,Mymensingh,Netrokona-5,33.9,38.95,Machum Mustafa,Jamaat,82177.0,Md. Abu Taher Talukdar,BNP,79412.0,2765.0,290117,147896,142219,2,Normal,161589.0,50.85556566350432,1.7111313270086452,50.97805368179045,49.02125694116511,0.0006893770444337,1.956796740625336,Very Close,1.0
130,Dhaka,Tangail-1,13.3,50.8,Fakir Mahbub Anam,BNP,153932.0,Muhammad Abdullah Kafi,Jamaat,94462.0,59470.0,437433,216007,221424,2,Normal,248394.0,61.97090106846381,23.941802136927624,49.38059085619969,50.61895193092428,0.000457212876029,-1.238361074724594,Moderate,0.0
131,Dhaka,Tangail-2,13.3,50.8,Abdus Salam Pintu,BNP,198213.0,Md. Humayun Kabir,Jamaat,60871.0,137342.0,418606,210422,208183,1,Normal,259084.0,76.50530329931605,53.0106065986321,50.26731580531574,49.73244530656512,0.0002388881191382,0.534870498750621,Very Large,2.0
132,Dhaka,Tangail-3,13.3,50.8,Md. Lutfar Rahman Khan Azad,IND,107901.0,SM Obaidul Haque,BNP,82769.0,25132.0,382720,191864,190853,3,Normal,190670.0,56.59044422300309,13.18088844600619,50.13168896321071,49.86752717391305,0.0007838628762541,0.2641617892976597,Close,0.0
133,Dhaka,Tangail-4,13.3,50.8,Md. Lutfar Rahman,BNP,105342.0,Abdul Latif Siddiqui,IND,62509.0,42833.0,374917,189942,184972,3,Normal,167851.0,62.75923289107601,25.518465782152028,50.66241328080615,49.33678654208799,0.000800177105866,1.3256267387181635,Moderate,0.0
134,Dhaka,Tangail-5,13.3,50.8,Sultan Saladin Tuku,BNP,131279.0,Ahsan Habib,Jamaat,80283.0,50996.0,462412,231303,231108,1,Normal,211562.0,62.05225891228103,24.104517824562063,50.02097696426563,49.9788067783708,0.0002162573635632,0.0421701858948253,Moderate,0.0
135,Dhaka,Tangail-6,13.3,50.8,Md Rabiul Awal,BNP,150952.0,AKM Abdul Hamid,Jamaat,91914.0,59038.0,468076,236597,231475,4,Normal,242866.0,62.15443907339851,24.308878146797,50.54670609046394,49.4524393474564,0.0008545620796622,1.0942667430075446,Moderate,0.0
136,Dhaka,Tangail-7,13.3,50.8,Abul Kalam Azad Siddiqui,BNP,141253.0,Md Abdullah ibn Abul Hossain,Jamaat,71040.0,70213.0,375437,188871,186560,6,Normal,212293.0,66.53681468536409,33.07362937072819,50.30697560442897,49.69142625793408,0.0015981376369404,0.6155493464948876,Large,2.0
137,Dhaka,Tangail-8,13.3,50.8,Ahmed Azam Khan,BNP,114217.0,Salahuddin Alamgir,IND,77130.0,37087.0,414826,206623,208198,5,Normal,191347.0,59.691032522067246,19.38206504413448,49.80955870654202,50.18923596881584,0.0012053246421391,-0.379677262273816,Moderate,0.0
162,Dhaka,Kishoreganj-1,35.3,50.8,Mazharul Islam,BNP,124035.0,Hedayatullah Hadi,BKM,101132.0,22903.0,555136,280657,274476,3,Normal,225167.0,55.08578077604622,10.171561552092449,50.55644022365691,49.443019368226885,0.0005404081162093,1.1134208554300216,Close,1.0
163,Dhaka,Kishoreganj-2,35.3,50.8,Advocate Md. Jalal Uddin,BNP,143669.0,Md. Shafiul Islam,Jamaat,120975.0,22694.0,532516,268568,263939,9,Normal,264644.0,54.28764680098548,8.57529360197095,50.43378978284221,49.56452012709477,0.0016900900630215,0.8692696557474378,Close,1.0
164,Dhaka,Kishoreganj-3,35.3,50.8,Osman Faruk,BNP,112466.0,Jehad Khan,Jamaat,102476.0,9990.0,448625,230210,218412,3,Normal,214942.0,52.32388272185055,4.647765443701092,51.31457230426303,48.68475898578991,0.0006687099470604,2.6298133184731185,Very Close,1.0
165,Dhaka,Kishoreganj-4,35.3,50.8,Md. Fazlur Rahman,BNP,132472.0,Md. Rokan Reza Sheikh,Jamaat,57829.0,74643.0,408352,211182,197166,4,Normal,190301.0,69.611825476482,39.22365095296399,51.71567667110728,48.28334378183528,0.0009795470574406,3.432332889272004,Large,2.0
166,Dhaka,Kishoreganj-5,35.3,50.8,Syed Ehsanul Huda,BNP,66450.0,Md Ramzan Ali,Jamaat,54400.0,12050.0,353566,182452,171108,6,Normal,120850.0,54.985519238725686,9.971038477451383,51.60337815287669,48.39492485137146,0.0016969957518539,3.20845330150523,Close,1.0
167,Dhaka,Kishoreganj-6,35.3,50.8,Md. Shariful Alam,BNP,185813.0,Ataullah Amin,BKM,42555.0,143258.0,428804,221114,207687,3,Normal,228368.0,81.36560288656905,62.731205773138086,51.56528390593371,48.43401647372693,0.0006996203393625,3.1312674322067835,Very Large,2.0
168,Dhaka,Manikganj-1,22.2,50.8,SA Jinnah Kabir,BNP,137773.0,Md. Tozammel Haque,IND,77818.0,59955.0,207687,231857,230081,4,Normal,215591.0,63.90480122083019,27.809602441660363,111.63770481541934,110.78257185091029,0.0019259751452907,0.8551329645090675,Moderate,3.0
169,Dhaka,Manikganj-2,22.2,50.8,Moinul Islam Khan,BNP,175776.0,Md. Salah Uddin,BKM,81531.0,94245.0,472622,237205,235413,4,Normal,257307.0,68.31372640464504,36.62745280929007,50.18915750853748,49.80999614914244,0.0008463423200782,0.3791613593950345,Large,2.0
170,Dhaka,Manikganj-3,22.2,50.8,Afroza Khanam Rita,BNP,167345.0,Muhammad Said Noor,BKM,64242.0,103103.0,400059,199398,200660,1,Normal,231587.0,72.26010095558041,44.52020191116082,49.84214828312824,50.15760175374132,0.0002499631304382,-0.3154534706130789,Large,2.0
171,Dhaka,Munshiganj-1,11.3,50.8,Md. Abdullah,BNP,167562.0,AKM Fakhruddin,Jamaat,101568.0,65994.0,545519,280716,264802,1,Normal,269130.0,62.26061754542415,24.52123509084829,51.45851931830055,48.54129737002744,0.000183311672004,2.917221948273109,Moderate,0.0
172,Dhaka,Munshiganj-2,11.3,50.8,Abdus Salam Azad,BNP,121154.0,Majedul Islam,NCP,58573.0,62581.0,378492,194720,183772,0,Normal,179727.0,67.41001630250324,34.82003260500648,51.4462657070691,48.5537342929309,0.0,2.8925314141382046,Large,2.0
173,Dhaka,Munshiganj-3,11.3,50.8,Md. Kamruzzaman,BNP,124691.0,Mohiuddin,IND,88936.0,35755.0,509467,263075,246390,2,Normal,213627.0,58.36855828149064,16.73711656298127,51.63729937365914,48.362308059206974,0.0003925671338869,3.2749913144521656,Moderate,0.0
174,Dhaka,Dhaka-1,8.6,50.8,Khandaker Abu Ashfaq,BNP,173781.0,Mohammad Nazrul Islam,Jamaat,112622.0,61159.0,545140,276050,269085,5,Normal,286403.0,60.67708787966607,21.35417575933213,50.6383681256191,49.3607146787981,0.000917195582786,1.2776534468209988,Moderate,0.0
175,Dhaka,Dhaka-2,8.6,50.8,Amanullah Aman,BNP,163020.0,Md. Abdul Haque,Jamaat,78655.0,84365.0,414215,217908,201298,9,Normal,241675.0,67.45422571635461,34.908451432709214,52.60746230822158,48.59746749876272,0.0021727846649686,4.00999480945886,Large,2.0
176,Dhaka,Dhaka-3,8.6,50.8,Gayeshwar Chandra Roy,BNP,99163.0,Md. Shahinur Islam,Jamaat,83264.0,15899.0,362159,184971,177184,4,Normal,182427.0,54.35763346434464,8.715266928689285,51.07452803878959,48.92436747395481,0.0011044872555976,2.1501605648347777,Close,0.0
177,Dhaka,Dhaka-4,8.6,50.8,Syed Zainul Abedin,Jamaat,77367.0,Tanveer Ahmed,BNP,74447.0,2920.0,362506,186476,176034,5,Normal,151814.0,50.96170313673311,1.9234062734662156,51.44080373842088,48.56029969159131,0.0013792875152411,2.8805040468295715,Very Close,0.0
178,Dhaka,Dhaka-5,8.6,50.8,Mohammad Kamal Hossain,Jamaat,96641.0,Md Nabi Ulla,BNP,87491.0,9150.0,419996,214594,205397,5,Normal,184132.0,52.48463059109769,4.969261182195382,51.09429613615368,48.90451337631787,0.0011904875284526,2.189782759835808,Very Close,0.0
