constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness,cluster
38,Rajshahi,Bogra-3,12.0,47.2,Md. Abdul Mohit Talukder,BNP,127406.0,Noor Mohammad,Jamaat,111026.0,16380.0,339181,169347,169831,3,Normal,238432.0,53.43494161857468,6.869883237149375,49.92820942210796,50.07090609438618,0.0008844835058567,-0.1426966722782197,Close,1.0
39,Rajshahi,Bogra-4,12.0,47.2,Md. Mosharraf Hossain,BNP,155339.0,Md. Mustafa Faisal,Jamaat,108978.0,46361.0,359523,178985,180530,8,Normal,264317.0,58.76996182614058,17.53992365228116,49.784019381235694,50.21375544819108,0.0022251705732317,-0.4297360669553853,Moderate,1.0
40,Rajshahi,Bogra-5,12.0,47.2,Gholam Mohammad Siraj,BNP,248841.0,Md. Dabibur Rahman,Jamaat,143329.0,105512.0,572340,281287,291047,6,Normal,392170.0,63.45232934696688,26.904658693933754,49.146835796903936,50.852115875179095,0.0010483279169724,-1.705280078275159,Moderate,1.0
41,Rajshahi,Bogra-6,12.0,47.2,Tarique Rahman,BNP,216284.0,Md. Abidur Rahman,Jamaat,97626.0,118658.0,454043,222796,231237,10,Normal,313910.0,68.90000318562646,37.800006371252906,49.069361271950015,50.92843629347881,0.0022024345711749,-1.8590750215287957,Large,2.0
42,Rajshahi,Bogra-7,12.0,47.2,Morshed Milton,BNP,264212.0,Md. Golam Rabbani,Jamaat,116665.0,147547.0,538092,270070,268017,5,Normal,380877.0,69.36937646536808,38.73875293073617,50.19030203013612,49.80876876073236,0.0009292091315239,0.3815332694037536,Large,2.0
43,Rajshahi,Chapai Nawabganj-1,34.7,47.2,Md. Keramat Ali,Jamaat,206893.0,Md. Shahjahan Mia,BNP,162515.0,44378.0,500181,255316,244865,0,Normal,369408.0,56.00663764726265,12.013275294525291,51.04472181070453,48.95527818929548,0.0,2.0894436214090533,Close,1.0
44,Rajshahi,Chapai Nawabganj-2,34.7,47.2,Md. Mizanur Rahman,Jamaat,171227.0,Md. Aminul Islam,BNP,155119.0,16108.0,461000,228825,232174,1,Normal,326346.0,52.46793280751104,4.935865615022093,49.63665943600868,50.36312364425163,0.0002169197396963,-0.7264642082429518,Very Close,1.0
45,Rajshahi,Chapai Nawabganj-3,34.7,47.2,Md. Nurul Islam,Jamaat,189640.0,Harunur Rashid,BNP,127037.0,62603.0,468479,236648,231831,0,Normal,316677.0,59.8843616681982,19.76872333639639,50.51411055778381,49.48588944221619,0.0,1.028221115567618,Moderate,1.0
46,Rajshahi,Naogaon-1,16.2,47.2,Md. Mostafizur Rahman,BNP,173864.0,Md. Mahbubul Alam,Jamaat,153816.0,20048.0,474067,235379,238684,4,Normal,327680.0,53.05908203125001,6.1181640625,49.6509986984962,50.34815753891328,0.0008437625905199,-0.6971588404170745,Close,1.0
47,Rajshahi,Naogaon-2,16.2,47.2,Md. Enamul Haque,Jamaat,141526.0,Md. Samsujjoha Khan,BNP,134533.0,6993.0,372436,185375,187059,2,Normal,276059.0,51.26657707229252,2.5331541445850347,49.77365238591329,50.22581060907109,0.0005370050156268,-0.4521582231578023,Very Close,1.0
48,Rajshahi,Naogaon-3,16.2,47.2,Md. Fazle Huda,BNP,166889.0,Md. Mahfuzur Rahman,Jamaat,119421.0,47468.0,440785,218988,221796,1,Normal,286310.0,58.28961615032657,16.57923230065314,49.68136393026079,50.31840920176504,0.0002268679741824,-0.6370452715042489,Moderate,1.0
