constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness
16,Rangpur,Lalmonirhat-1,20.0,46.0,Hasan Rajib Pradhan,BNP,138686.0,Md. Anwarul Islam Raju,Jamaat,129572.0,9114.0,403561,202707,200852,2,Normal,268258.0,51.69873778228422,3.397475564568438,50.22958115377849,49.76992325819393,0.0004955880275844296,0.45965789558456294,Very Close
17,Rangpur,Lalmonirhat-2,20.0,46.0,Md. Rokun Uddin Babul,BNP,123946.0,Md. Feroz Haider,Jamaat,66904.0,57042.0,432964,217200,215761,3,Normal,190850.0,64.94419701336128,29.88839402672256,50.16583364898698,49.8334734527582,0.0006928982548202622,0.3323601962287839,Moderate
18,Rangpur,Lalmonirhat-3,20.0,46.0,Asadul Habib Dulu,BNP,139657.0,Md. Abu Taher,Jamaat,56244.0,83413.0,307970,154167,153801,2,Normal,195901.0,71.28957994088852,42.57915988177702,50.0590966652596,49.94025392083645,0.0006494139039516836,0.11884274442315501,Large
19,Rangpur,Rangpur-1,21.8,46.0,Raihan Siraji,Jamaat,145088.0,Md. Mokarram Hossain Sujan,BNP,69407.0,75681.0,375227,188829,186394,4,Normal,214495.0,67.64166996899694,35.283339937993894,50.32393724332205,49.674996735309556,0.0010660213683983295,0.6489405080124939,Large
20,Rangpur,Rangpur-2,21.8,46.0,ATM Azharul Islam,Jamaat,43076.0,Muhammad Ali Sarkar,BNP,22100.0,20976.0,380921,192287,188625,9,Normal,65176.0,66.09181293727752,32.18362587455505,50.47949574846228,49.51814155691075,0.002362694626969897,0.9613541915515285,Large
21,Rangpur,Rangpur-3,21.8,46.0,Mahbubur Rahman Belal,Jamaat,175827.0,Md. Samsuzzaman Samu,BNP,84578.0,91249.0,508223,252369,255849,5,Normal,260405.0,67.52059292256293,35.04118584512586,49.657138696989314,50.34187748291596,0.0009838200947221987,-0.6847387859266476,Large
22,Rangpur,Rangpur-4,21.8,46.0,Akhter Hossen,NCP,147947.0,Mohammad Emdadul Haque Bharsa,BNP,139616.0,8331.0,509905,250787,259113,5,Normal,287563.0,51.44855214335641,2.8971042867128247,49.183083123326895,50.815936301860155,0.0009805748129553544,-1.63285317853326,Very Close
23,Rangpur,Rangpur-5,21.8,46.0,Md. Golam Rabbani,Jamaat,175208.0,Md. Golam Rabbani,BNP,114141.0,61067.0,469189,232462,236723,4,Normal,289349.0,60.5524816052587,21.104963210517404,49.54549232825152,50.453655136842514,0.0008525349059760565,-0.9081628085909941,Moderate
24,Rangpur,Rangpur-6,21.8,46.0,Md. Nurul Amin,Jamaat,118890.0,Md. Saiful Islam,BNP,116919.0,1971.0,318131,157935,160192,4,Normal,235809.0,50.41792298003893,0.8358459600778596,49.64464324444962,50.3540994118775,0.0012573436728894702,-0.7094561674278808,Very Close
25,Rangpur,Kurigram-1,31.3,46.0,Md. Anwarul Islam,Jamaat,141090.0,Saifur Rahman Rana,BNP,123025.0,18065.0,563978,281424,282551,3,Normal,264115.0,53.419911780853035,6.839823561706075,49.89981878725766,50.09964927709946,0.0005319356428796867,-0.1998304898418013,Close
